User ID,Name,Email Address,Username,Date of Birth,Gender,Location,Membership Start Date,Membership End Date,Subscription Plan,Payment Information,Renewal Status,Usage Frequency,Purchase History,Favorite Genres,Devices Used,Engagement Metrics,Feedback/Ratings,Customer Support Interactions,Age,Months Till Expire
29,Shelley Lopez,rodneyroberts@example.com,rodneyroberts,1967-07-05,Female,North Marymouth,2024-01-07,2024-10-06,Monthly,Mastercard,Manual,Regular,Clothing,Comedy,Smartphone,Low,3.0,7,57,0
30,Stephen Perkins,julie52@example.com,julie52,1976-09-16,Female,West James,2022-01-31,2024-01-30,Monthly,Amex,Manual,Regular,Books,Action,Smart TV,Medium,4.8,9,48,0
31,Christopher Davis,urobinson@example.net,urobinson,1955-09-19,Female,Randallton,2022-01-31,2024-01-30,Annual,Mastercard,Manual,Frequent,Clothing,Romance,Smartphone,Low,4.6,10,69,0
32,Rodney Jones,zfrost@example.net,zfrost,1967-10-14,Female,Port Kimberly,2022-01-31,2024-01-30,Monthly,Mastercard,Manual,Occasional,Electronics,Horror,Tablet,Low,4.2,9,57,0
33,Cheryl Johnson,louis25@example.com,louis25,1995-03-28,Female,Lisaton,2022-01-31,2024-01-30,Monthly,Mastercard,Manual,Frequent,Clothing,Drama,Smartphone,Low,4.3,4,29,0
34,Whitney Underwood,ujones@example.com,ujones,2002-07-23,Female,New Jenniferport,2022-01-31,2023-01-30,Monthly,Mastercard,Manual,Regular,Electronics,Horror,Smartphone,Low,3.0,10,22,0
35,Cheryl Bradley,jesseforbes@example.org,jesseforbes,1933-05-11,Female,New Jason,2022-01-31,2024-01-30,Annual,Mastercard,Manual,Occasional,Electronics,Action,Smartphone,Low,3.8,6,91,0
36,Carrie Smith,scottjohn@example.com,scottjohn,1991-07-03,Female,Clineshire,2022-01-31,2024-01-30,Monthly,Mastercard,Manual,Occasional,Books,Comedy,Tablet,High,4.8,10,33,0
37,Ryan Nunez,silvamichael@example.org,silvamichael,1944-10-26,Female,Jacquelinefurt,2022-01-31,2024-01-30,Monthly,Visa,Auto-renew,Frequent,Books,Horror,Smart TV,Medium,4.1,6,80,0
38,John Wood,maxwellanthony@example.net,maxwellanthony,1975-07-23,Female,North Jerry,2022-01-31,2024-01-30,Annual,Amex,Manual,Frequent,Clothing,Romance,Tablet,Medium,4.5,7,49,0
39,Rachel Holmes,maryjones@example.com,maryjones,1955-07-06,Female,Port Benjaminfort,2024-03-25,2025-03-25,Monthly,Visa,Auto-renew,Occasional,Electronics,Documentary,Tablet,High,3.2,8,69,1
40,Terry Powell,reyesjennifer@example.com,reyesjennifer,1981-03-19,Female,Port Danielle,2024-02-04,2024-07-03,Monthly,Visa,Manual,Occasional,Clothing,Documentary,Tablet,Low,3.0,5,43,0
41,Mark Hernandez,william81@example.com,william81,1975-03-07,Female,Port Jillianbury,2024-03-18,2025-03-18,Monthly,Visa,Auto-renew,Frequent,Clothing,Comedy,Smart TV,Medium,4.6,8,49,1
42,Angela Hall,laura84@example.org,laura84,1962-06-14,Female,Sherrybury,2024-03-21,2025-03-21,Monthly,Amex,Auto-renew,Occasional,Electronics,Comedy,Tablet,High,4.4,2,62,1
43,Laura Griffith,michelle48@example.net,michelle48,2001-01-09,Female,Port Charleschester,2024-02-04,2024-07-03,Monthly,Amex,Manual,Regular,Clothing,Documentary,Tablet,Low,3.0,9,24,0
44,Anita Calhoun MD,ashley86@example.com,ashley86,1945-08-27,Female,New Brandy,2024-03-14,2025-03-14,Annual,Mastercard,Manual,Frequent,Clothing,Romance,Smartphone,Medium,4.8,6,79,0
45,Shannon Clark,traci17@example.net,traci17,1943-08-20,Female,East Aaronburgh,2024-03-14,2025-03-14,Monthly,Amex,Manual,Frequent,Books,Horror,Smartphone,Low,5.0,6,81,0
46,Geoffrey Garcia,benjamin76@example.org,benjamin76,1993-10-31,Male,Jamesview,2024-02-04,2024-07-03,Monthly,Mastercard,Manual,Regular,Clothing,Sci-Fi,Smart TV,Low,3.0,5,31,0
47,Jeffery Maxwell,debra51@example.org,debra51,1953-04-13,Female,Davisfort,2024-02-04,2024-07-03,Monthly,Amex,Manual,Frequent,Books,Sci-Fi,Smartphone,Low,3.0,7,71,0
48,Robert Lloyd,bradleypatrick@example.org,bradleypatrick,1985-03-15,Male,West Tanya,2024-03-09,2025-03-09,Monthly,Mastercard,Manual,Occasional,Electronics,Romance,Smartphone,Low,4.3,2,39,0
49,Melissa Wells,luis09@example.net,luis09,1950-07-27,Female,South Kylestad,2022-03-09,2023-03-09,Monthly,Mastercard,Auto-renew,Occasional,Electronics,Horror,Smart TV,Low,3.1,8,74,0
50,Antonio Jackson,jrandall@example.org,jrandall,1965-07-23,Female,East Marcusberg,2022-03-09,2023-03-09,Annual,Visa,Manual,Occasional,Books,Sci-Fi,Tablet,High,4.5,9,59,0
51,John Smith,dhuffman@example.net,dhuffman,1990-12-21,Male,New Nicoleport,2022-03-09,2023-03-09,Monthly,Visa,Manual,Occasional,Electronics,Drama,Smart TV,High,3.9,8,34,0
52,Jeremy Lyons,richardsmicheal@example.com,richardsmicheal,1976-11-05,Male,North Stephen,2022-03-09,2023-03-09,Annual,Amex,Manual,Frequent,Clothing,Horror,Smartphone,High,3.9,0,48,0
53,Cathy Harrington,kellygibson@example.org,kellygibson,1942-03-21,Male,Lake Wendyland,2022-03-09,2023-03-09,Monthly,Mastercard,Manual,Occasional,Clothing,Drama,Smartphone,Low,4.9,8,82,0
54,Lisa Bauer,allison13@example.org,allison13,1964-10-26,Male,Michaelfort,2022-03-09,2023-03-09,Annual,Amex,Manual,Occasional,Electronics,Comedy,Smart TV,High,3.6,5,60,0
55,Margaret Cooper,fbradley@example.org,fbradley,1964-02-19,Female,Lake Samantha,2022-03-09,2023-03-09,Monthly,Visa,Manual,Frequent,Clothing,Action,Tablet,Low,2.5,3,61,0
56,Robert Browning,lorettashelton@example.net,lorettashelton,1973-11-09,Female,East Charles,2022-03-09,2023-03-09,Monthly,Mastercard,Manual,Regular,Electronics,Sci-Fi,Smartphone,Low,2.5,6,51,0
57,Amanda Williams DVM,reginald05@example.org,reginald05,1953-03-27,Female,Bowmanland,2022-01-02,2023-01-01,Monthly,Visa,Auto-renew,Occasional,Electronics,Sci-Fi,Smart TV,Medium,3.0,2,71,0
58,William Clark,michael86@example.com,michael86,1961-05-19,Male,New Thomasville,2024-04-01,2025-04-01,Monthly,Amex,Auto-renew,Occasional,Books,Drama,Tablet,Low,4.5,10,63,1
59,Julie Dean,hduffy@example.org,hduffy,2003-03-09,Female,Port Olivia,2024-04-07,2025-04-07,Monthly,Mastercard,Auto-renew,Frequent,Books,Comedy,Smart TV,High,3.5,10,21,1
60,Neil Allen,hamiltonkeith@example.org,hamiltonkeith,1968-09-05,Female,Port Lauramouth,2022-03-09,2023-03-09,Monthly,Mastercard,Manual,Occasional,Books,Action,Smartphone,Low,2.5,9,56,0
61,Nicole Hunter,wendy13@example.com,wendy13,1953-09-24,Female,Smithborough,2024-02-15,2025-02-14,Monthly,Amex,Auto-renew,Occasional,Books,Comedy,Smart TV,Medium,3.9,4,71,0
62,Susan Hurst,jessicaespinoza@example.com,jessicaespinoza,1991-10-15,Female,Phillipsfurt,2024-03-06,2025-03-06,Annual,Visa,Manual,Occasional,Clothing,Romance,Smart TV,High,4.6,10,33,0
63,Megan Bates,douglas02@example.net,douglas02,1981-08-17,Female,Harrisshire,2024-01-09,2025-01-08,Monthly,Mastercard,Auto-renew,Frequent,Electronics,Romance,Smartphone,Medium,3.8,3,43,0
64,Kristen Rowe,bcollins@example.org,bcollins,1974-06-10,Male,South Williammouth,2024-03-09,2025-03-09,Monthly,Mastercard,Auto-renew,Frequent,Clothing,Sci-Fi,Tablet,Low,3.6,4,50,0
65,Jessica Flores,aguilarjohn@example.net,aguilarjohn,1948-06-30,Female,New Jonathan,2024-01-17,2025-01-16,Monthly,Amex,Manual,Frequent,Electronics,Comedy,Smartphone,Low,4.5,6,76,0
66,Elizabeth Taylor,desiree88@example.com,desiree88,1973-07-13,Female,Jennaburgh,2024-03-29,2025-03-29,Monthly,Amex,Manual,Regular,Electronics,Romance,Tablet,High,3.6,10,51,1
67,Ronald Brooks MD,arodriguez@example.net,arodriguez,2004-04-07,Female,Jonathanburgh,2023-02-01,2024-01-31,Monthly,Visa,Manual,Frequent,Books,Comedy,Tablet,Low,2.5,9,20,0
68,Sonya Obrien,larry78@example.org,larry78,1946-02-17,Female,Jessicaborough,2024-03-19,2025-03-19,Annual,Visa,Manual,Frequent,Electronics,Sci-Fi,Smart TV,Low,3.4,0,79,1
69,Tracy Koch,timothy25@example.net,timothy25,1947-08-03,Female,Kristenton,2024-04-09,2025-04-09,Monthly,Amex,Auto-renew,Frequent,Books,Sci-Fi,Smartphone,High,4.7,9,77,1
70,Kendra Brooks DVM,obray@example.net,obray,1937-01-29,Male,Garzafort,2022-01-21,2023-01-20,Monthly,Amex,Manual,Regular,Clothing,Action,Smartphone,Low,3.2,2,88,0
71,Janice Oliver,bethany83@example.net,bethany83,1988-12-02,Male,South Leslie,2022-01-21,2023-01-20,Monthly,Visa,Auto-renew,Frequent,Books,Comedy,Tablet,Low,4.1,5,36,0
72,Jennifer Shields,aanderson@example.org,aanderson,2004-10-07,Male,Williamport,2022-01-21,2023-01-20,Monthly,Mastercard,Manual,Regular,Electronics,Drama,Smartphone,Low,2.5,7,20,0
73,Diana Dillon,diane28@example.com,diane28,1981-04-21,Male,South Beverlyton,2022-01-21,2023-01-20,Monthly,Visa,Auto-renew,Regular,Electronics,Drama,Smartphone,Medium,3.5,4,43,0
74,David Mata,cheyennewilson@example.net,cheyennewilson,1967-08-12,Male,Lake Rebecca,2024-04-08,2025-04-08,Annual,Amex,Manual,Frequent,Electronics,Drama,Tablet,Low,4.8,9,57,1
75,Megan Vaughan,walkersusan@example.net,walkersusan,1938-02-23,Female,Tinaberg,2024-02-03,2025-02-02,Annual,Visa,Manual,Frequent,Books,Horror,Tablet,Medium,3.3,0,87,0
76,Kelsey Diaz,jamesstevens@example.com,jamesstevens,1992-06-29,Female,Wongview,2022-01-21,2023-01-20,Monthly,Mastercard,Manual,Occasional,Clothing,Sci-Fi,Smart TV,Low,2.5,5,32,0
77,Jimmy Parker,shannon08@example.org,shannon08,1967-05-15,Female,Ramseymouth,2024-02-18,2025-02-17,Monthly,Mastercard,Manual,Regular,Books,Documentary,Smart TV,Medium,4.9,10,57,0
78,Perry Fry,lucas69@example.com,lucas69,1993-12-10,Female,Port Jasonville,2024-03-10,2025-03-10,Monthly,Visa,Manual,Regular,Clothing,Drama,Smartphone,Low,3.8,10,31,0
79,Evelyn Williams,john77@example.org,john77,1942-08-03,Male,Port Nicholas,2024-03-18,2025-03-18,Monthly,Mastercard,Auto-renew,Occasional,Clothing,Sci-Fi,Tablet,Low,4.1,10,82,1
80,Julie Sanchez,bakerzachary@example.net,bakerzachary,1994-12-11,Female,Michaelberg,2024-01-29,2025-01-28,Annual,Visa,Manual,Regular,Electronics,Comedy,Smartphone,Low,3.4,6,30,0
81,Joseph Davis,greenelisa@example.com,greenelisa,1933-10-12,Male,Martinezfort,2024-01-07,2025-01-06,Monthly,Mastercard,Manual,Frequent,Clothing,Action,Smart TV,Low,3.3,3,91,0
82,Monique Rodriguez,rrhodes@example.com,rrhodes,1940-05-03,Male,West Connorport,2024-03-20,2025-03-20,Monthly,Mastercard,Manual,Frequent,Electronics,Documentary,Smartphone,High,3.6,9,84,1
83,Thomas Davis,brendasmith@example.com,brendasmith,1938-12-01,Female,Carsonhaven,2023-02-28,2024-02-28,Monthly,Visa,Manual,Regular,Electronics,Romance,Smartphone,Low,2.5,5,86,0
84,Christopher Dickerson,wgregory@example.com,wgregory,1992-05-05,Female,Troytown,2024-01-15,2025-01-14,Monthly,Amex,Auto-renew,Occasional,Books,Action,Smart TV,High,3.2,4,32,0
85,Keith Baker,ujones@example.com,ujones,1972-07-11,Female,Langton,2024-02-03,2025-02-02,Annual,Amex,Manual,Occasional,Clothing,Horror,Smartphone,Medium,3.0,1,52,0
86,Ashley Cortez,lisa59@example.net,lisa59,1948-06-13,Female,Charlesfurt,2024-02-23,2025-02-22,Annual,Visa,Manual,Frequent,Books,Action,Smart TV,Low,3.9,3,76,0
87,Tammy Ward,shannon33@example.com,shannon33,1974-03-16,Female,Lake Stephanieside,2024-01-28,2024-10-27,Monthly,Mastercard,Manual,Frequent,Books,Horror,Smart TV,Low,2.5,4,50,0
88,Mary Fernandez,richardsjimmy@example.com,richardsjimmy,1990-04-27,Male,Melissamouth,2024-02-10,2025-02-09,Monthly,Amex,Manual,Regular,Books,Romance,Smart TV,Low,4.4,2,34,0
89,Gilbert Brown,ashleytate@example.net,ashleytate,1984-03-24,Male,Amyborough,2023-02-27,2024-02-26,Annual,Visa,Auto-renew,Frequent,Electronics,Romance,Smart TV,Low,4.0,2,40,0
90,Vanessa Lutz,harriscameron@example.org,harriscameron,1951-11-13,Female,North Michelleburgh,2024-02-11,2025-02-10,Monthly,Mastercard,Manual,Regular,Electronics,Action,Tablet,Medium,4.7,3,73,0
91,Jenna Pham,marybeltran@example.org,marybeltran,1937-08-15,Male,Harryland,2024-01-13,2025-01-12,Monthly,Mastercard,Auto-renew,Occasional,Books,Drama,Tablet,High,3.4,9,87,0
92,Alicia Williams,xpierce@example.org,xpierce,1991-06-20,Male,Lindseyland,2024-02-22,2025-02-21,Monthly,Amex,Manual,Frequent,Books,Comedy,Tablet,Medium,4.2,2,33,0
93,Laura Saunders,sara71@example.net,sara71,1945-02-21,Male,Kevinchester,2024-02-13,2025-02-12,Annual,Mastercard,Manual,Occasional,Books,Drama,Tablet,Medium,3.9,3,80,0
94,Connor Morris,umiller@example.org,umiller,1981-03-04,Female,North Melissaville,2024-02-08,2025-02-07,Annual,Mastercard,Manual,Frequent,Clothing,Drama,Smartphone,High,3.9,4,43,0
95,Shannon Farmer,coffeyparker@example.org,coffeyparker,1958-12-15,Female,Justinchester,2023-02-27,2024-02-26,Annual,Mastercard,Auto-renew,Frequent,Clothing,Drama,Tablet,High,4.6,6,66,0
96,Mackenzie Harris,andersonemily@example.net,andersonemily,1963-11-06,Female,Lake Barryland,2023-02-27,2024-02-26,Annual,Mastercard,Auto-renew,Regular,Clothing,Action,Smartphone,Medium,3.2,9,61,0
97,Stephanie Potter,heather10@example.org,heather10,1958-05-05,Female,New Teresaburgh,2024-03-25,2025-03-25,Monthly,Amex,Manual,Regular,Electronics,Romance,Tablet,High,3.7,3,66,1
98,Mitchell Potter,fsanchez@example.net,fsanchez,1979-08-27,Male,South Katieburgh,2024-01-27,2025-01-26,Annual,Visa,Manual,Regular,Books,Documentary,Tablet,High,4.7,4,45,0
99,Jonathan Rodriguez,nichole85@example.net,nichole85,1967-12-20,Male,East Shannonhaven,2024-02-29,2025-02-28,Monthly,Visa,Auto-renew,Occasional,Clothing,Action,Smart TV,Medium,4.7,7,57,0
100,Jennifer Davis,zunigashelly@example.org,zunigashelly,1950-01-15,Female,West Nathanielton,2023-02-27,2024-02-26,Annual,Mastercard,Auto-renew,Regular,Books,Drama,Smart TV,Low,4.5,5,75,0
101,Darlene Gutierrez,perkinsmary@example.org,perkinsmary,1956-09-20,Male,North Kristenbury,2024-01-19,2025-01-18,Monthly,Amex,Auto-renew,Frequent,Clothing,Comedy,Smart TV,Low,4.7,1,68,0
102,Paula Perez,trevorwelch@example.net,trevorwelch,2003-03-12,Female,Dicksonmouth,2024-04-12,2025-04-12,Annual,Amex,Manual,Regular,Books,Sci-Fi,Tablet,Low,3.5,3,21,1
103,Jaime Edwards,aguirrejoshua@example.com,aguirrejoshua,1990-11-27,Male,Bennettmouth,2024-04-08,2025-04-08,Annual,Amex,Manual,Occasional,Electronics,Horror,Tablet,Low,3.0,2,34,1
104,Sherry Salinas,roachmegan@example.org,roachmegan,1998-03-27,Male,New Markview,2024-04-04,2025-04-04,Annual,Amex,Manual,Occasional,Clothing,Action,Smart TV,High,3.1,8,26,1
105,Paul Harris,ashley27@example.com,ashley27,1958-05-09,Male,West Robinborough,2024-01-07,2025-01-06,Monthly,Amex,Manual,Frequent,Books,Drama,Smart TV,Low,3.3,0,66,0
106,James Williams,rlove@example.org,rlove,1973-10-14,Male,West Robert,2022-02-13,2024-02-12,Annual,Mastercard,Auto-renew,Occasional,Electronics,Comedy,Smartphone,High,3.4,10,51,0
107,Alan Oneal,mbarker@example.net,mbarker,1949-02-23,Female,South Amy,2024-02-14,2025-02-13,Annual,Mastercard,Manual,Frequent,Clothing,Documentary,Tablet,Low,3.3,7,76,0
108,Grant Jensen,tyler29@example.com,tyler29,1944-07-10,Female,East Mark,2024-04-11,2025-04-11,Monthly,Amex,Manual,Regular,Clothing,Action,Tablet,Medium,3.2,7,80,1
109,Traci Arellano,uwolfe@example.org,uwolfe,1974-02-15,Male,Leeshire,2022-02-13,2024-02-12,Annual,Visa,Auto-renew,Occasional,Clothing,Horror,Tablet,Medium,3.2,2,51,0
110,Richard Ramsey,akemp@example.org,akemp,1982-01-12,Male,West Joan,2024-01-15,2025-01-14,Monthly,Amex,Manual,Occasional,Clothing,Sci-Fi,Tablet,Medium,4.9,0,43,0
111,Maria Lawrence,foxshelia@example.org,foxshelia,1953-10-24,Male,Johnton,2024-02-27,2025-02-26,Annual,Amex,Manual,Regular,Electronics,Drama,Smartphone,High,3.4,7,71,0
112,Regina Ramsey,susan84@example.com,susan84,1982-05-29,Female,Clarkville,2024-02-17,2025-02-16,Annual,Visa,Manual,Frequent,Clothing,Horror,Tablet,Medium,4.1,2,42,0
113,Lisa Reese,nataliereynolds@example.org,nataliereynolds,1989-01-13,Male,Collinsmouth,2024-01-22,2025-01-21,Monthly,Visa,Auto-renew,Frequent,Clothing,Sci-Fi,Smart TV,Medium,4.9,3,36,0
114,Bruce Pennington,angela32@example.com,angela32,1967-12-01,Male,South Sharonhaven,2022-02-13,2024-02-12,Annual,Amex,Auto-renew,Frequent,Books,Sci-Fi,Smartphone,High,3.4,9,57,0
115,Jessica Barker,henryjennifer@example.org,henryjennifer,1981-08-03,Female,New Robert,2024-04-12,2025-04-12,Monthly,Visa,Manual,Occasional,Clothing,Horror,Smartphone,Low,2.0,4,43,1
116,Alexis Vasquez,griffinbarbara@example.com,griffinbarbara,1980-07-20,Female,Wellsstad,2024-04-07,2025-04-07,Monthly,Mastercard,Auto-renew,Regular,Clothing,Action,Tablet,Low,3.8,3,44,1
117,Rebecca Lucero,martindakota@example.com,martindakota,1979-02-15,Female,Sullivantown,2022-02-13,2024-02-12,Annual,Mastercard,Auto-renew,Frequent,Clothing,Action,Tablet,Low,4.5,6,46,0
118,Mary Phillips,gregorymills@example.org,gregorymills,1945-02-08,Female,Hortonview,2024-01-31,2025-01-30,Monthly,Amex,Auto-renew,Regular,Electronics,Documentary,Smart TV,High,3.6,0,80,0
119,Dustin James,tiffany46@example.org,tiffany46,1937-10-13,Female,Johnsonmouth,2022-02-13,2024-02-12,Annual,Mastercard,Auto-renew,Regular,Books,Comedy,Smartphone,Medium,4.5,7,87,0
120,Robert Williams,tstephens@example.com,tstephens,1990-09-22,Female,North Margaret,2023-01-07,2024-01-06,Annual,Amex,Auto-renew,Frequent,Electronics,Action,Smart TV,High,4.1,3,34,0
121,Lisa Washington,dbailey@example.net,dbailey,1991-11-03,Male,East Charlotte,2024-03-02,2025-03-02,Annual,Visa,Manual,Frequent,Books,Drama,Smartphone,High,4.2,2,33,0
122,Brian French,stephenwilliams@example.net,stephenwilliams,1968-06-19,Male,Alisonfort,2024-03-15,2025-03-15,Monthly,Visa,Manual,Occasional,Electronics,Romance,Smartphone,Low,3.3,7,56,0
123,Elizabeth Flores,zstewart@example.net,zstewart,1936-03-11,Female,Brandifurt,2024-01-12,2025-01-11,Annual,Amex,Auto-renew,Regular,Books,Drama,Smart TV,High,3.2,2,88,0
124,Melissa Crawford,kelleybenjamin@example.org,kelleybenjamin,1947-05-19,Male,Garciaview,2024-01-02,2025-01-01,Annual,Amex,Auto-renew,Regular,Electronics,Sci-Fi,Tablet,Low,4.7,8,77,0
125,Antonio Juarez,christopherjones@example.org,christopherjones,1990-06-24,Male,Byrdside,2024-01-25,2025-01-24,Annual,Visa,Manual,Frequent,Electronics,Drama,Tablet,Medium,4.6,2,34,0
126,Robert Wilson DDS,tiffany69@example.net,tiffany69,1985-05-09,Male,New Cherylhaven,2024-04-05,2025-04-05,Annual,Visa,Manual,Regular,Electronics,Horror,Tablet,Low,4.9,7,39,1
127,Christopher Clay,stanleynathan@example.org,stanleynathan,2005-07-10,Female,East Christophertown,2024-03-26,2025-03-26,Annual,Mastercard,Auto-renew,Frequent,Clothing,Romance,Smart TV,Low,3.2,10,19,1
128,Ashley Jenkins,apope@example.com,apope,1985-06-19,Male,Lake Jacobport,2024-04-09,2025-04-09,Monthly,Visa,Manual,Frequent,Electronics,Comedy,Smartphone,Medium,4.4,9,39,1
129,Charles Stafford,scott67@example.net,scott67,1991-10-05,Male,Michaelmouth,2024-04-14,2025-04-14,Monthly,Amex,Auto-renew,Regular,Electronics,Documentary,Tablet,High,4.6,6,33,1
130,Jordan Jackson,ubrown@example.org,ubrown,1953-09-28,Female,Lake Amystad,2024-01-05,2025-01-04,Annual,Mastercard,Manual,Occasional,Electronics,Sci-Fi,Tablet,Low,2.0,3,71,0
131,Christine Wright,gmoore@example.com,gmoore,1972-02-04,Male,Lunahaven,2024-01-20,2025-01-19,Monthly,Mastercard,Manual,Occasional,Clothing,Comedy,Smart TV,High,3.1,10,53,0
132,Penny Jones,kgreen@example.com,kgreen,1969-08-15,Female,Port Deanland,2024-01-22,2025-01-21,Annual,Amex,Manual,Occasional,Electronics,Comedy,Tablet,Medium,3.4,1,55,0
